CountryCode,Population
AND,0
AFG,30206627.0
ATG,89530.0
AIA,0
ALB,2881160.0
ARM,2985060.0
AGO,23066819.0
ATA,0
ARG,42318079.0
ASM,0
AUS,23093130.0
ABW,102656.0
Ã…ALA,0
AZE,9429670.0
AUT,8471354.0
DZA,37812804.0
BHS,0
BHR,1342516.0
BGD,156210473.0
BRB,282054.0
BLR,9494029.0
BEL,11116527.0
BLZ,340479.0
BEN,10186533.0
BMU,0
BTN,749285.0
BOL,0
BES,0
BIH,0
BWA,2154777.0
BVT,0
BRA,203342335.0
IOT,0
BRN,408535.0
BGR,7277916.0
BFA,16837944.0
BDI,10295103.0
KHM,14955433.0
CMR,21935701.0
CAN,35051051.0
CPV,0
CYM,0
CAF,4665025.0
TCD,12930301.0
CHL,17482537.0
CHN,1358996659.0
CXR,0
CCK,0
COL,47115236.0
COM,742697.0
COG,4340463.0
COD,0
COK,0
CRI,4680597.0
CIV,0
HRV,0
CUB,11352634.0
CUW,0
CYP,1135558.0
CZE,10546149.0
DNK,5612862.0
DJI,858828.0
DMA,0
DOM,10218718.0
ECU,15541182.0
EGY,0
SLV,6080883.0
GNQ,785413.0
ERI,4945372.0
EST,1322026.0
ETH,93378602.0
FLK,0
FRO,0
FJI,877401.0
FIN,5439070.0
FRA,63703719.0
GUF,250735.0
PYF,275272.0
ATF,0
GAB,1631956.0
GMB,0
GEO,4109907.0
DEU,80519251.0
GHA,25855970.0
GIB,0
GRC,11082710.0
GRL,0
GRD,105686.0
GLP,462235.0
GUM,163943.0
GTM,15530564.0
GGY,0
GIN,11788814.0
GNB,0
GUY,759705.0
HTI,10360715.0
HMD,0
VAT,0
HND,7793160.0
HKG,0
HUN,9941544.0
ISL,324433.0
IND,1271630121.0
IDN,249666167.0
IRN,0
IRQ,33531220.0
IRL,4670269.0
IMN,0
ISR,7757068.0
ITA,59756012.0
JAM,2768114.0
JPN,127063358.0
JEY,0
JOR,7107496.0
KAZ,16960952.0
KEN,43118982.0
KIR,107586.0
PRK,0
KOR,0
KWT,3508549.0
KGZ,0
LAO,0
LVA,2024138.0
LBN,5107423.0
LSO,2070130.0
LBR,4242789.0
LBY,6274712.0
LIE,0
LTU,2989433.0
LUX,538775.0
MAC,0
MKD,0
MDG,22609081.0
MWI,15944869.0
MYS,29246098.0
MDV,347974.0
MLI,16352320.0
MLT,416207.0
MHL,0
MTQ,395358.0
MRT,3824995.0
MUS,1260999.0
MYT,224253.0
MEX,122914842.0
FSM,103599.0
MDA,0
MCO,0
MNG,2833769.0
MNE,624275.0
MSR,0
MAR,33218577.0
MOZ,26100257.0
MMR,52764071.0
NAM,2318972.0
NRU,0
NPL,27668050.0
NLD,0
NCL,254815.0
NZL,4450604.0
NIC,5911999.0
NER,17992695.0
NGA,170530420.0
NIU,0
NFK,0
MNP,0
NOR,5051176.0
OMN,3728160.0
PAK,179299402.0
PLW,0
PSE,0
PAN,3774624.0
PNG,7233500.0
PRY,6421545.0
PER,30365522.0
PHL,96794445.0
PCN,0
POL,38614754.0
PRT,10484000.0
PRI,3692890.0
QAT,2061317.0
REU,0
ROU,19870574.0
RUS,143327817.0
RWA,10948115.0
SHN,0
BLM,0
KNA,0
LCA,0
SPM,0
VCT,0
WSM,189663.0
SMR,0
STP,180455.0
SAU,29851811.0
SEN,14000856.0
SRB,8958167.0
SYC,94866.0
SLE,6112689.0
SGP,5353109.0
SXM,0
SVK,0
SVN,2063988.0
SLB,554798.0
SOM,10150182.0
ZAF,53129981.0
SGS,0
SSD,11219348.0
ESP,46553081.0
LKA,20472286.0
SDN,38113206.0
SUR,531016.0
SJM,0
SWZ,1241077.0
SWE,9583430.0
CHE,8072097.0
SYR,0
TWN,0
TJK,8018947.0
TZA,0
THA,67311712.0
TLS,0
TGO,6835559.0
TKL,0
TON,104914.0
TTO,1344888.0
TUN,10942439.0
TUR,75541735.0
TKM,5207419.0
TCA,0
TUV,0
UGA,35985008.0
UKR,45240248.0
ARE,9006275.0
GBR,63769073.0
USA,315980703.0
UMI,0
URY,3402313.0
UZB,28813633.0
VUT,250348.0
VEN,0
VNM,90858421.0
VGB,0
VIR,0
WLF,0
ESH,543700.0
YEM,0
ZMB,15013941.0
ZWE,14730626.0
